ID,Cluster
501,2
502,1
503,1
504,1
505,2
506,2
507,1
508,2
509,2
510,2
511,1
512,2
513,2
514,1
515,2
516,1
517,1
518,1
519,1
520,1
521,2
522,2
523,1
524,1
525,1
526,2
527,1
528,1
529,2
530,2
531,1
532,2
533,1
534,2
535,1
536,1
537,2
538,1
539,1
540,1
541,2
542,2
543,2
544,1
545,1
546,1
547,1
548,1
549,2
550,1
551,2
552,2
553,2
554,1
555,1
556,2
557,1
558,1
559,2
560,2
561,2
562,2
563,2
564,1
565,1
566,1
567,2
568,1
569,2
570,2
571,1
572,1
573,1
574,2
575,1
576,1
577,2
578,2
579,2
580,1
581,1
582,2
583,2
584,2
585,1
586,1
587,1
588,2
589,1
590,1
591,1
592,2
593,2
594,2
595,2
596,1
597,2
598,1
599,2
600,1
601,1
602,1
603,2
604,1
605,2
606,1
607,2
608,2
609,1
610,1
611,1
612,2
613,1
614,1
615,1
616,1
617,2
618,2
619,1
620,1
621,2
622,1
623,1
624,2
625,2
626,2
627,1
628,2
629,2
630,1
631,1
632,2
633,2
634,1
635,2
636,2
637,2
638,2
639,1
640,2
641,1
642,2
643,2
644,2
645,1
646,2
647,2
648,2
649,1
650,1
651,1
652,2
653,2
654,1
655,1
656,1
657,1
658,2
659,1
660,2
661,2
662,2
663,2
664,2
665,1
666,1
667,1
668,1
669,1
670,2
671,1
672,1
673,1
674,2
675,1
676,2
677,1
678,2
679,1
680,2
681,1
682,1
683,1
684,1
685,1
686,2
687,2
688,1
689,2
690,1
691,1
692,1
693,1
694,1
695,1
696,2
697,1
698,1
699,2
700,1
701,2
702,2
703,2
704,2
705,1
706,2
707,2
708,2
709,2
710,2
711,2
712,1
713,1
714,2
715,1
716,1
717,1
718,1
719,2
720,1
721,1
722,2
723,1
724,1
725,2
726,2
727,1
728,1
729,2
730,2
731,2
732,1
733,1
734,1
735,1
736,2
737,2
738,1
739,2
740,1
741,1
742,1
743,1
744,1
745,2
746,1
747,2
748,2
749,2
750,1
751,1
752,1
753,1
754,1
755,1
756,1
757,1
758,1
759,1
760,2
761,1
762,2
763,2
764,1
765,2
766,1
767,2
768,2
769,2
770,1
771,2
772,1
773,1
774,2
775,1
776,1
777,2
778,2
779,2
780,1
781,2
782,1
783,1
784,2
785,1
786,1
787,2
788,1
789,2
790,1
791,1
792,2
793,2
794,2
795,1
796,2
797,2
798,1
799,2
800,1
801,2
802,2
803,1
804,2
805,2
806,2
807,2
808,2
809,1
810,1
811,2
812,1
813,1
814,1
815,1
816,2
817,1
818,1
819,2
820,1
821,1
822,2
823,2
824,1
825,1
826,1
827,2
828,2
829,1
830,2
831,1
832,2
833,1
834,2
835,2
836,2
837,1
838,1
839,1
840,1
841,1
842,1
843,1
844,1
845,1
846,2
847,2
848,2
849,2
850,2
851,2
852,2
853,1
854,1
855,1
856,1
857,1
858,2
859,1
860,1
861,2
862,2
863,2
864,2
865,2
866,1
867,2
868,2
869,1
870,2
871,2
872,1
873,2
874,2
875,1
876,1
877,2
878,1
879,1
880,2
881,1
882,2
883,1
884,2
885,1
886,2
887,2
888,1
889,2
890,1
891,2
892,2
893,2
894,1
895,1
896,2
897,2
898,2
899,1
900,2
901,2
902,1
903,1
904,1
905,2
906,2
907,2
908,2
909,2
910,2
911,2
912,1
913,2
914,2
915,1
916,2
917,2
918,1
919,1
920,2
921,2
922,1
923,2
924,2
925,2
926,2
927,2
928,1
929,1
930,2
931,1
932,2
933,1
934,2
935,2
936,2
937,1
938,1
939,1
940,2
941,2
942,1
943,1
944,1
945,2
946,1
947,1
948,2
949,2
950,1
951,2
952,2
953,2
954,1
955,1
956,1
957,1
958,1
959,2
960,2
961,1
962,1
963,2
964,1
965,2
966,1
967,2
968,2
969,1
970,2
971,1
972,1
973,2
974,1
975,2
976,1
977,1
978,2
979,1
980,2
981,1
982,1
983,1
984,2
985,2
986,1
987,1
988,2
989,2
990,2
991,2
992,2
993,1
994,1
995,1
996,2
997,1
998,1
999,1
1000,1
