ID,Cluster
501,1
502,2
503,2
504,2
505,1
506,2
507,2
508,2
509,1
510,1
511,1
512,1
513,1
514,1
515,2
516,1
517,2
518,1
519,2
520,2
521,1
522,1
523,1
524,2
525,2
526,2
527,2
528,1
529,2
530,2
531,2
532,2
533,2
534,1
535,1
536,1
537,2
538,1
539,1
540,1
541,1
542,1
543,1
544,2
545,2
546,2
547,2
548,1
549,2
550,1
551,2
552,2
553,2
554,1
555,2
556,2
557,2
558,2
559,2
560,2
561,2
562,1
563,1
564,1
565,2
566,1
567,1
568,2
569,2
570,1
571,2
572,1
573,2
574,1
575,2
576,2
577,2
578,1
579,1
580,2
581,1
582,2
583,1
584,1
585,1
586,1
587,2
588,1
589,1
590,2
591,2
592,1
593,1
594,2
595,2
596,1
597,2
598,2
599,1
600,2
601,2
602,1
603,1
604,1
605,1
606,2
607,1
608,1
609,2
610,2
611,1
612,1
613,1
614,1
615,2
616,1
617,1
618,2
619,2
620,2
621,1
622,1
623,2
624,1
625,2
626,2
627,2
628,2
629,1
630,1
631,2
632,2
633,2
634,2
635,1
636,1
637,2
638,1
639,2
640,1
641,2
642,1
643,1
644,1
645,2
646,1
647,1
648,1
649,1
650,1
651,1
652,1
653,1
654,1
655,1
656,1
657,1
658,2
659,1
660,2
661,2
662,1
663,1
664,2
665,2
666,2
667,2
668,1
669,2
670,1
671,2
672,1
673,2
674,1
675,1
676,2
677,1
678,1
679,1
680,2
681,2
682,2
683,1
684,2
685,2
686,1
687,1
688,2
689,2
690,1
691,2
692,2
693,2
694,1
695,1
696,1
697,2
698,2
699,1
700,2
701,1
702,1
703,1
704,2
705,2
706,1
707,2
708,1
709,2
710,1
711,1
712,2
713,1
714,2
715,2
716,1
717,2
718,1
719,2
720,1
721,2
722,1
723,1
724,2
725,2
726,1
727,2
728,2
729,2
730,2
731,1
732,2
733,1
734,1
735,1
736,2
737,2
738,2
739,2
740,2
741,2
742,1
743,2
744,1
745,1
746,1
747,1
748,2
749,2
750,1
751,2
752,1
753,1
754,1
755,1
756,2
757,1
758,1
759,1
760,1
761,2
762,1
763,1
764,2
765,2
766,1
767,1
768,2
769,1
770,2
771,2
772,2
773,2
774,2
775,1
776,1
777,2
778,1
779,1
780,1
781,2
782,2
783,1
784,1
785,1
786,2
787,1
788,1
789,1
790,2
791,1
792,1
793,1
794,2
795,2
796,2
797,1
798,2
799,2
800,1
801,2
802,2
803,2
804,2
805,1
806,2
807,1
808,2
809,1
810,2
811,1
812,2
813,1
814,1
815,2
816,1
817,2
818,1
819,2
820,2
821,1
822,1
823,2
824,2
825,1
826,1
827,2
828,1
829,2
830,1
831,2
832,1
833,1
834,1
835,1
836,1
837,1
838,2
839,2
840,2
841,1
842,2
843,2
844,1
845,1
846,1
847,1
848,2
849,1
850,1
851,1
852,2
853,1
854,1
855,2
856,2
857,2
858,2
859,2
860,1
861,1
862,1
863,1
864,2
865,1
866,2
867,1
868,1
869,1
870,2
871,2
872,2
873,1
874,1
875,1
876,1
877,1
878,1
879,2
880,1
881,1
882,2
883,2
884,1
885,2
886,1
887,2
888,1
889,1
890,2
891,2
892,2
893,1
894,1
895,1
896,2
897,2
898,1
899,2
900,1
901,2
902,1
903,1
904,1
905,2
906,1
907,1
908,1
909,1
910,1
911,1
912,2
913,2
914,1
915,1
916,1
917,2
918,1
919,2
920,2
921,1
922,2
923,1
924,2
925,2
926,1
927,1
928,1
929,2
930,1
931,1
932,1
933,1
934,2
935,1
936,2
937,1
938,1
939,1
940,1
941,1
942,1
943,2
944,2
945,1
946,1
947,1
948,1
949,2
950,1
951,2
952,1
953,2
954,2
955,2
956,2
957,1
958,2
959,1
960,1
961,2
962,2
963,1
964,1
965,1
966,2
967,1
968,1
969,2
970,1
971,2
972,1
973,1
974,2
975,1
976,1
977,1
978,2
979,2
980,2
981,2
982,1
983,1
984,2
985,1
986,1
987,2
988,1
989,2
990,1
991,1
992,1
993,2
994,2
995,2
996,1
997,1
998,1
999,1
1000,2
