y_hat
5
-1
8
5
-1
-1
-1
5
8
-1
-1
1
-1
-1
-1
-1
4
5
8
-1
-1
8
-1
-1
5
-1
5
5
-1
-1
5
-1
-1
8
-1
-1
5
-1
-1
1
4
-1
-1
-1
-1
8
-1
8
-1
-1
-1
8
1
5
8
-1
8
-1
-1
-1
8
-1
5
5
8
-1
8
4
5
8
-1
-1
-1
8
4
-1
4
5
8
-1
-1
-1
2
-1
5
-1
-1
1
1
-1
-1
8
8
-1
-1
5
-1
8
-1
8
-1
-1
-1
8
-1
1
8
-1
-1
-1
8
-1
1
-1
-1
1
1
-1
-1
5
-1
8
8
-1
-1
-1
5
1
8
1
1
1
5
8
-1
8
8
-1
5
-1
8
-1
8
8
4
-1
-1
-1
1
1
5
-1
7
-1
-1
8
5
-1
-1
1
-1
-1
-1
6
-1
8
-1
5
-1
-1
5
5
8
-1
-1
5
8
1
-1
8
-1
-1
-1
-1
8
8
-1
-1
1
8
8
1
5
-1
5
-1
8
8
8
5
-1
5
-1
-1
8
-1
5
8
5
-1
8
-1
8
5
8
1
-1
-1
-1
1
-1
-1
-1
5
5
-1
-1
8
-1
-1
-1
-1
-1
-1
-1
-1
8
5
8
-1
-1
8
-1
4
8
1
8
1
-1
5
8
5
-1
8
1
5
-1
-1
8
-1
-1
8
8
-1
-1
-1
8
1
5
8
-1
-1
-1
-1
-1
-1
1
-1
8
-1
5
-1
8
-1
-1
5
8
-1
-1
-1
-1
8
8
5
-1
1
8
-1
-1
-1
-1
5
5
5
8
-1
-1
1
-1
-1
-1
-1
-1
8
-1
5
1
-1
-1
5
-1
-1
5
-1
1
5
-1
1
5
-1
5
-1
8
-1
-1
5
5
-1
-1
1
5
8
-1
8
-1
5
-1
-1
8
1
-1
-1
8
-1
-1
8
5
-1
8
8
-1
-1
1
-1
8
8
1
1
8
-1
8
-1
1
-1
-1
8
-1
8
-1
-1
-1
8
-1
1
-1
8
-1
-1
8
-1
5
8
-1
-1
-1
-1
5
-1
-1
-1
8
8
8
5
-1
-1
-1
-1
8
-1
-1
-1
3
-1
1
8
-1
5
-1
1
5
-1
-1
-1
8
-1
8
8
5
-1
-1
5
8
8
8
8
1
5
-1
1
-1
-1
-1
8
-1
-1
-1
-1
8
-1
-1
-1
-1
-1
5
5
1
1
-1
8
-1
8
-1
8
-1
8
-1
5
5
-1
1
-1
-1
5
8
-1
-1
-1
-1
5
8
-1
-1
5
-1
-1
-1
-1
5
8
8
-1
8
-1
-1
8
1
8
1
5
-1
-1
5
1
1
-1
5
8
-1
8
8
-1
8
5
8
5
-1
-1
-1
5
-1
5
-1
-1
-1
8
1
-1
-1
8
5
8
-1
-1
8
8
8
-1
-1
-1
1
8
-1
5
-1
8
1
-1
1
8
1
-1
-1
-1
-1
8
8
-1
1
-1
-1
1
8
-1
8
1
8
5
8
8
-1
8
-1
-1
-1
-1
-1
-1
1
1
-1
8
-1
8
8
1
8
-1
8
8
-1
1
-1
-1
1
-1
5
1
-1
-1
-1
-1
1
8
1
1
-1
-1
1
-1
-1
1
-1
-1
8
-1
8
-1
8
5
-1
1
5
8
-1
-1
-1
8
-1
-1
8
8
-1
-1
-1
8
-1
-1
-1
-1
5
5
8
-1
-1
-1
1
5
5
8
-1
8
1
8
8
8
-1
-1
1
-1
-1
8
-1
8
-1
-1
8
8
-1
-1
-1
5
-1
1
8
-1
-1
-1
-1
1
-1
-1
8
-1
8
-1
-1
5
8
-1
5
8
8
-1
5
5
-1
-1
5
5
1
8
8
-1
5
-1
5
1
8
-1
-1
8
8
5
5
8
5
-1
-1
-1
4
-1
-1
-1
8
8
-1
-1
1
5
-1
-1
1
8
-1
5
5
-1
1
-1
5
-1
8
-1
-1
-1
1
-1
-1
-1
1
-1
5
5
8
-1
8
8
-1
-1
-1
5
8
5
-1
8
5
-1
-1
1
5
-1
1
5
-1
-1
-1
-1
8
-1
-1
8
5
-1
1
8
-1
-1
-1
8
-1
5
-1
5
-1
8
-1
-1
1
4
