ID,Cluster
501,1
502,2
503,2
504,2
505,2
506,1
507,1
508,1
509,1
510,2
511,1
512,1
513,2
514,1
515,1
516,1
517,1
518,2
519,2
520,1
521,1
522,2
523,2
524,1
525,2
526,2
527,1
528,2
529,1
530,2
531,1
532,2
533,1
534,1
535,2
536,2
537,1
538,2
539,2
540,2
541,1
542,2
543,1
544,2
545,1
546,2
547,1
548,1
549,1
550,1
551,1
552,2
553,1
554,2
555,2
556,2
557,2
558,2
559,1
560,1
561,2
562,1
563,2
564,1
565,2
566,1
567,1
568,1
569,2
570,2
571,2
572,1
573,2
574,2
575,1
576,1
577,2
578,2
579,2
580,1
581,2
582,1
583,2
584,2
585,2
586,1
587,1
588,1
589,1
590,2
591,2
592,2
593,2
594,1
595,2
596,1
597,2
598,1
599,1
600,1
601,2
602,1
603,1
604,1
605,1
606,1
607,1
608,1
609,1
610,1
611,2
612,1
613,2
614,2
615,1
616,1
617,1
618,2
619,1
620,1
621,1
622,2
623,1
624,1
625,1
626,1
627,2
628,2
629,1
630,1
631,1
632,2
633,1
634,1
635,1
636,2
637,2
638,1
639,1
640,2
641,2
642,1
643,1
644,1
645,1
646,2
647,2
648,1
649,2
650,1
651,1
652,1
653,1
654,1
655,2
656,2
657,2
658,1
659,1
660,2
661,1
662,2
663,1
664,2
665,2
666,1
667,2
668,2
669,1
670,1
671,2
672,1
673,2
674,2
675,1
676,1
677,2
678,1
679,2
680,2
681,1
682,1
683,2
684,1
685,2
686,2
687,2
688,1
689,1
690,2
691,1
692,1
693,2
694,2
695,2
696,2
697,1
698,2
699,1
700,1
701,1
702,1
703,1
704,1
705,2
706,2
707,1
708,1
709,1
710,1
711,1
712,2
713,1
714,1
715,2
716,1
717,2
718,2
719,2
720,2
721,1
722,1
723,2
724,2
725,2
726,1
727,2
728,1
729,2
730,1
731,1
732,2
733,2
734,1
735,2
736,2
737,2
738,1
739,2
740,1
741,2
742,2
743,2
744,1
745,2
746,2
747,2
748,2
749,1
750,2
751,1
752,2
753,2
754,1
755,2
756,1
757,1
758,2
759,1
760,1
761,1
762,1
763,2
764,1
765,2
766,1
767,1
768,1
769,1
770,2
771,1
772,1
773,2
774,1
775,1
776,2
777,2
778,2
779,1
780,1
781,2
782,2
783,1
784,2
785,2
786,2
787,2
788,1
789,2
790,2
791,1
792,2
793,1
794,2
795,2
796,2
797,1
798,2
799,1
800,1
801,2
802,1
803,2
804,2
805,2
806,1
807,1
808,2
809,2
810,2
811,1
812,1
813,2
814,1
815,1
816,1
817,1
818,1
819,1
820,1
821,1
822,2
823,2
824,2
825,1
826,1
827,1
828,2
829,1
830,1
831,2
832,2
833,1
834,2
835,2
836,2
837,1
838,2
839,2
840,2
841,1
842,1
843,1
844,1
845,1
846,1
847,1
848,2
849,1
850,2
851,2
852,1
853,1
854,1
855,2
856,2
857,1
858,2
859,2
860,2
861,1
862,2
863,2
864,1
865,1
866,2
867,2
868,1
869,2
870,1
871,1
872,1
873,1
874,1
875,1
876,1
877,2
878,2
879,1
880,2
881,1
882,2
883,1
884,1
885,2
886,2
887,2
888,2
889,2
890,2
891,1
892,1
893,1
894,2
895,2
896,1
897,1
898,2
899,1
900,1
901,1
902,1
903,2
904,2
905,1
906,2
907,2
908,2
909,1
910,1
911,2
912,2
913,2
914,2
915,1
916,1
917,2
918,2
919,1
920,1
921,1
922,2
923,2
924,1
925,1
926,1
927,2
928,2
929,1
930,2
931,1
932,2
933,1
934,2
935,2
936,1
937,1
938,2
939,1
940,1
941,1
942,2
943,1
944,1
945,1
946,2
947,1
948,2
949,1
950,1
951,1
952,1
953,1
954,1
955,1
956,2
957,1
958,1
959,1
960,1
961,1
962,2
963,1
964,2
965,1
966,2
967,1
968,1
969,1
970,2
971,2
972,1
973,2
974,1
975,1
976,2
977,2
978,1
979,2
980,2
981,1
982,2
983,2
984,2
985,2
986,1
987,2
988,1
989,1
990,1
991,1
992,2
993,1
994,1
995,1
996,1
997,1
998,2
999,2
1000,2
