ID,Cluster
501,2
502,2
503,1
504,1
505,2
506,1
507,1
508,2
509,2
510,2
511,2
512,2
513,2
514,2
515,2
516,1
517,1
518,1
519,1
520,1
521,2
522,2
523,1
524,1
525,2
526,2
527,1
528,1
529,2
530,2
531,1
532,2
533,1
534,2
535,1
536,2
537,2
538,1
539,1
540,1
541,2
542,2
543,1
544,1
545,1
546,2
547,1
548,1
549,2
550,1
551,2
552,2
553,2
554,1
555,1
556,1
557,2
558,1
559,2
560,2
561,2
562,1
563,2
564,1
565,1
566,1
567,2
568,1
569,1
570,2
571,1
572,1
573,1
574,2
575,1
576,1
577,2
578,2
579,2
580,2
581,1
582,2
583,1
584,2
585,2
586,1
587,1
588,2
589,1
590,1
591,1
592,2
593,2
594,2
595,2
596,1
597,2
598,2
599,2
600,2
601,1
602,2
603,2
604,1
605,2
606,2
607,2
608,2
609,1
610,1
611,1
612,2
613,1
614,2
615,2
616,2
617,2
618,1
619,1
620,2
621,2
622,1
623,2
624,1
625,2
626,2
627,1
628,2
629,2
630,1
631,1
632,2
633,2
634,2
635,2
636,2
637,2
638,2
639,2
640,1
641,1
642,2
643,2
644,2
645,1
646,2
647,2
648,2
649,1
650,1
651,2
652,2
653,2
654,1
655,2
656,1
657,1
658,2
659,1
660,2
661,1
662,2
663,2
664,2
665,1
666,2
667,2
668,1
669,2
670,2
671,1
672,2
673,2
674,2
675,1
676,1
677,1
678,2
679,1
680,1
681,2
682,1
683,2
684,2
685,1
686,2
687,2
688,1
689,2
690,1
691,1
692,1
693,1
694,1
695,2
696,2
697,1
698,1
699,2
700,1
701,2
702,2
703,2
704,2
705,1
706,2
707,2
708,2
709,2
710,2
711,2
712,1
713,2
714,2
715,1
716,1
717,1
718,2
719,2
720,2
721,1
722,2
723,1
724,2
725,2
726,1
727,1
728,1
729,2
730,2
731,2
732,2
733,1
734,2
735,2
736,2
737,1
738,2
739,2
740,2
741,2
742,1
743,1
744,1
745,1
746,1
747,2
748,2
749,2
750,1
751,2
752,1
753,1
754,2
755,2
756,2
757,2
758,2
759,1
760,2
761,1
762,2
763,2
764,1
765,1
766,2
767,2
768,2
769,2
770,1
771,2
772,1
773,2
774,2
775,1
776,1
777,2
778,2
779,2
780,2
781,2
782,1
783,1
784,2
785,1
786,1
787,2
788,2
789,2
790,1
791,1
792,2
793,2
794,2
795,2
796,2
797,2
798,2
799,1
800,1
801,1
802,2
803,1
804,2
805,2
806,2
807,1
808,2
809,1
810,1
811,2
812,1
813,2
814,1
815,1
816,2
817,1
818,2
819,2
820,2
821,1
822,2
823,2
824,2
825,1
826,1
827,2
828,2
829,1
830,2
831,2
832,2
833,1
834,1
835,1
836,1
837,1
838,1
839,1
840,2
841,2
842,1
843,1
844,1
845,1
846,2
847,2
848,2
849,2
850,2
851,2
852,2
853,1
854,1
855,1
856,2
857,2
858,2
859,1
860,1
861,2
862,2
863,2
864,2
865,2
866,1
867,2
868,2
869,1
870,1
871,2
872,1
873,2
874,2
875,1
876,2
877,2
878,1
879,1
880,1
881,1
882,2
883,1
884,2
885,1
886,2
887,1
888,1
889,2
890,1
891,2
892,2
893,2
894,1
895,2
896,2
897,2
898,2
899,1
900,2
901,2
902,2
903,1
904,2
905,2
906,2
907,2
908,1
909,2
910,2
911,2
912,1
913,2
914,2
915,1
916,2
917,2
918,2
919,1
920,2
921,2
922,1
923,2
924,2
925,2
926,2
927,1
928,1
929,1
930,2
931,1
932,2
933,1
934,1
935,2
936,2
937,2
938,1
939,1
940,2
941,2
942,2
943,1
944,1
945,2
946,1
947,1
948,2
949,1
950,2
951,2
952,2
953,2
954,2
955,2
956,1
957,2
958,2
959,2
960,2
961,1
962,1
963,2
964,1
965,2
966,1
967,2
968,1
969,1
970,2
971,1
972,1
973,1
974,1
975,2
976,1
977,1
978,2
979,1
980,2
981,1
982,1
983,2
984,2
985,2
986,1
987,1
988,2
989,2
990,2
991,2
992,2
993,1
994,2
995,2
996,2
997,1
998,1
999,1
1000,1
