ID,Cluster
501,1
502,1
503,1
504,1
505,2
506,1
507,1
508,1
509,1
510,1
511,2
512,1
513,1
514,2
515,1
516,2
517,1
518,2
519,1
520,1
521,2
522,1
523,1
524,1
525,1
526,2
527,1
528,1
529,1
530,2
531,1
532,2
533,2
534,2
535,2
536,1
537,2
538,1
539,1
540,1
541,2
542,2
543,1
544,2
545,1
546,2
547,1
548,2
549,1
550,1
551,1
552,1
553,2
554,1
555,1
556,1
557,1
558,1
559,1
560,1
561,1
562,2
563,1
564,2
565,1
566,2
567,2
568,2
569,2
570,1
571,1
572,1
573,2
574,1
575,1
576,1
577,2
578,1
579,2
580,1
581,1
582,1
583,2
584,1
585,1
586,1
587,1
588,1
589,1
590,1
591,1
592,1
593,1
594,1
595,2
596,1
597,1
598,1
599,2
600,2
601,1
602,1
603,1
604,1
605,1
606,1
607,1
608,1
609,1
610,2
611,1
612,2
613,1
614,1
615,1
616,1
617,2
618,1
619,1
620,1
621,1
622,1
623,1
624,1
625,1
626,1
627,2
628,1
629,1
630,1
631,2
632,1
633,1
634,1
635,1
636,1
637,1
638,1
639,1
640,1
641,1
642,1
643,1
644,2
645,2
646,1
647,1
648,2
649,1
650,2
651,2
652,2
653,1
654,1
655,2
656,1
657,1
658,2
659,2
660,1
661,2
662,2
663,2
664,1
665,1
666,2
667,1
668,2
669,1
670,1
671,1
672,1
673,1
674,1
675,1
676,2
677,1
678,1
679,1
680,1
681,2
682,1
683,1
684,1
685,1
686,1
687,1
688,2
689,1
690,2
691,1
692,1
693,2
694,1
695,1
696,2
697,1
698,1
699,2
700,1
701,1
702,1
703,1
704,1
705,2
706,1
707,1
708,1
709,2
710,1
711,1
712,1
713,1
714,1
715,1
716,1
717,1
718,1
719,1
720,1
721,1
722,2
723,2
724,2
725,2
726,1
727,1
728,1
729,1
730,1
731,1
732,1
733,1
734,1
735,2
736,1
737,1
738,2
739,2
740,1
741,1
742,1
743,1
744,1
745,2
746,2
747,1
748,1
749,2
750,1
751,2
752,2
753,2
754,2
755,2
756,2
757,2
758,1
759,2
760,2
761,2
762,2
763,2
764,1
765,2
766,2
767,2
768,1
769,2
770,2
771,1
772,2
773,1
774,1
775,1
776,2
777,2
778,1
779,1
780,2
781,2
782,2
783,2
784,2
785,1
786,1
787,1
788,2
789,2
790,2
791,2
792,2
793,2
794,1
795,1
796,1
797,1
798,2
799,2
800,1
801,2
802,1
803,1
804,1
805,1
806,1
807,1
808,2
809,2
810,1
811,2
812,2
813,1
814,2
815,2
816,2
817,2
818,1
819,2
820,2
821,2
822,2
823,2
824,2
825,2
826,2
827,2
828,2
829,1
830,2
831,2
832,1
833,2
834,1
835,1
836,2
837,2
838,1
839,2
840,2
841,1
842,2
843,2
844,1
845,2
846,2
847,1
848,2
849,2
850,2
851,2
852,1
853,2
854,2
855,2
856,1
857,2
858,2
859,1
860,1
861,1
862,1
863,2
864,2
865,1
866,2
867,2
868,2
869,2
870,2
871,2
872,1
873,2
874,2
875,1
876,2
877,2
878,1
879,2
880,1
881,2
882,1
883,2
884,2
885,1
886,2
887,2
888,2
889,2
890,1
891,1
892,2
893,2
894,2
895,2
896,2
897,1
898,1
899,2
900,2
901,1
902,2
903,2
904,2
905,2
906,2
907,1
908,1
909,2
910,2
911,2
912,1
913,2
914,2
915,1
916,2
917,2
918,2
919,1
920,2
921,1
922,2
923,2
924,2
925,2
926,2
927,2
928,2
929,2
930,2
931,2
932,2
933,2
934,1
935,2
936,1
937,2
938,2
939,2
940,2
941,2
942,1
943,2
944,2
945,1
946,2
947,1
948,2
949,2
950,2
951,1
952,2
953,2
954,2
955,2
956,2
957,2
958,2
959,1
960,2
961,2
962,2
963,2
964,2
965,1
966,2
967,2
968,2
969,1
970,2
971,2
972,2
973,2
974,2
975,2
976,1
977,2
978,2
979,2
980,2
981,2
982,2
983,2
984,1
985,1
986,2
987,1
988,2
989,1
990,2
991,1
992,2
993,1
994,2
995,2
996,2
997,2
998,2
999,2
1000,2
