pt_index
1
2
3
6
7
10
14
16
18
20
23
28
30
32
34
37
39
40
42
43
46
49
51
52
53
54
55
59
62
63
64
65
66
74
75
76
77
79
80
81
83
85
86
87
91
92
94
95
97
98
100
103
106
107
109
111
112
116
120
122
125
127
129
131
133
134
136
138
139
140
143
144
145
147
148
149
154
155
157
158
159
160
161
162
166
167
168
173
175
176
181
183
187
188
192
194
197
199
202
203
204
205
207
208
209
211
215
216
218
219
221
223
224
225
227
230
232
233
236
239
240
241
243
245
246
247
248
251
252
255
256
257
260
263
270
271
272
275
281
283
287
288
289
291
292
294
296
297
298
299
301
302
303
305
307
314
316
318
320
321
323
324
325
326
327
328
331
333
334
335
336
337
341
342
343
344
345
346
348
350
352
353
354
355
357
358
359
361
362
365
366
367
368
375
376
378
379
380
390
391
395
396
398
400
401
404
406
408
410
414
417
418
419
420
422
427
430
431
432
433
437
438
439
441
445
447
448
451
452
453
454
455
456
458
461
462
463
464
466
467
468
470
471
472
475
476
477
479
480
482
484
487
490
492
493
499
505
506
508
509
510
513
514
515
516
517
518
519
522
525
526
528
529
534
536
537
538
541
543
546
548
551
553
554
556
557
559
560
562
565
566
568
571
572
576
577
580
583
589
590
592
593
595
596
597
598
599
602
606
608
609
610
612
618
619
621
622
623
624
626
627
629
630
631
632
633
634
639
643
645
646
648
650
651
652
653
656
657
660
661
662
664
667
668
669
670
672
674
676
677
678
680
683
684
685
686
687
691
693
694
695
698
699
701
704
705
706
710
712
714
716
717
718
720
721
722
723
731
732
738
740
745
746
747
749
756
759
760
761
762
769
781
784
785
786
789
791
792
794
796
