ID,Cluster
501,2
502,1
503,2
504,1
505,2
506,2
507,1
508,1
509,2
510,2
511,1
512,1
513,2
514,1
515,1
516,1
517,2
518,1
519,1
520,2
521,2
522,1
523,2
524,1
525,1
526,2
527,1
528,1
529,1
530,1
531,2
532,1
533,1
534,1
535,1
536,1
537,1
538,2
539,2
540,1
541,2
542,1
543,2
544,2
545,1
546,1
547,2
548,1
549,1
550,1
551,1
552,1
553,2
554,1
555,1
556,1
557,1
558,2
559,1
560,1
561,1
562,2
563,2
564,1
565,1
566,1
567,2
568,1
569,2
570,1
571,2
572,1
573,1
574,1
575,2
576,1
577,1
578,2
579,2
580,2
581,1
582,1
583,1
584,1
585,2
586,2
587,1
588,2
589,2
590,2
591,1
592,2
593,1
594,1
595,2
596,1
597,1
598,1
599,1
600,1
601,1
602,1
603,2
604,2
605,2
606,1
607,2
608,1
609,1
610,2
611,1
612,1
613,2
614,1
615,2
616,2
617,1
618,2
619,1
620,1
621,1
622,2
623,2
624,2
625,1
626,1
627,1
628,2
629,1
630,2
631,1
632,2
633,2
634,1
635,1
636,1
637,1
638,2
639,1
640,2
641,1
642,1
643,1
644,1
645,1
646,2
647,2
648,1
649,2
650,2
651,1
652,1
653,2
654,2
655,2
656,1
657,2
658,2
659,1
660,2
661,1
662,1
663,2
664,1
665,1
666,1
667,2
668,1
669,1
670,1
671,2
672,1
673,1
674,1
675,1
676,2
677,2
678,2
679,1
680,1
681,1
682,2
683,1
684,1
685,1
686,2
687,1
688,1
689,1
690,1
691,1
692,2
693,1
694,1
695,1
696,1
697,1
698,1
699,2
700,2
701,1
702,2
703,1
704,1
705,1
706,2
707,1
708,2
709,1
710,1
711,2
712,2
713,1
714,2
715,1
716,1
717,1
718,1
719,1
720,1
721,1
722,2
723,1
724,1
725,1
726,1
727,1
728,1
729,1
730,1
731,2
732,1
733,1
734,1
735,2
736,1
737,2
738,2
739,2
740,1
741,1
742,1
743,1
744,1
745,2
746,2
747,2
748,1
749,1
750,1
751,1
752,2
753,1
754,2
755,2
756,1
757,1
758,2
759,2
760,2
761,2
762,1
763,1
764,1
765,1
766,2
767,2
768,2
769,2
770,1
771,2
772,2
773,1
774,1
775,1
776,2
777,2
778,1
779,1
780,1
781,1
782,2
783,2
784,2
785,1
786,1
787,1
788,1
789,1
790,2
791,1
792,2
793,2
794,2
795,1
796,2
797,2
798,1
799,2
800,1
801,1
802,2
803,2
804,2
805,1
806,2
807,2
808,1
809,1
810,2
811,1
812,2
813,2
814,1
815,2
816,2
817,2
818,1
819,2
820,1
821,2
822,2
823,2
824,2
825,2
826,1
827,1
828,1
829,1
830,2
831,1
832,1
833,2
834,2
835,2
836,2
837,1
838,1
839,1
840,1
841,1
842,1
843,2
844,2
845,2
846,2
847,1
848,1
849,1
850,2
851,2
852,2
853,1
854,2
855,1
856,1
857,1
858,2
859,2
860,2
861,2
862,1
863,1
864,2
865,2
866,1
867,2
868,2
869,2
870,1
871,2
872,1
873,2
874,1
875,2
876,1
877,2
878,2
879,2
880,2
881,2
882,1
883,2
884,1
885,1
886,2
887,1
888,2
889,1
890,2
891,1
892,2
893,2
894,2
895,2
896,2
897,2
898,1
899,1
900,2
901,1
902,1
903,2
904,2
905,1
906,2
907,1
908,2
909,2
910,2
911,1
912,2
913,2
914,2
915,2
916,1
917,2
918,2
919,1
920,1
921,1
922,2
923,2
924,2
925,1
926,2
927,2
928,2
929,2
930,1
931,2
932,1
933,1
934,1
935,2
936,2
937,2
938,1
939,2
940,2
941,2
942,1
943,1
944,2
945,2
946,2
947,1
948,2
949,2
950,1
951,2
952,1
953,1
954,1
955,2
956,1
957,1
958,1
959,2
960,1
961,1
962,2
963,1
964,2
965,2
966,1
967,1
968,2
969,1
970,1
971,2
972,2
973,2
974,1
975,2
976,2
977,1
978,1
979,1
980,2
981,1
982,2
983,2
984,1
985,2
986,2
987,2
988,1
989,2
990,1
991,1
992,1
993,1
994,1
995,1
996,2
997,1
998,1
999,1
1000,1
